"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"11104","{""Q0"":""6a1cbdfe90ff9b098f9cd956""}","survey-text","0","11117","0.0-0.0","6a1cbdfe90ff9b098f9cd956","","","","","","","","","","","",""
"2016","0","html-button-response","1","13135","0.0-1.0","6a1cbdfe90ff9b098f9cd956","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"4636","0","html-button-response","2","17772","0.0-2.0","6a1cbdfe90ff9b098f9cd956","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"9763","{""Q0"":4}","survey-likert","3","27538","0.0-3.0-0.0","6a1cbdfe90ff9b098f9cd956","","[0]","","8","1","How much does the sentence make sense?","377","Surely, he cannot be jealous of the baby?","3.25-4.25","","5","null"
"6239","{""Q0"":1}","survey-likert","4","33779","0.0-3.0-0.1","6a1cbdfe90ff9b098f9cd956","","[0]","","8","1","How much does the sentence make sense?","696","Relief swept through her when she found one.",">5.25","","2","null"
"4944","{""Q0"":3}","survey-likert","5","38725","0.0-3.0-0.2","6a1cbdfe90ff9b098f9cd956","","[0]","","8","1","How much does the sentence make sense?","404","There is a little white at the base.","3.25-4.25","","4","null"
"4272","{""Q0"":6}","survey-likert","6","42999","0.0-3.0-0.3","6a1cbdfe90ff9b098f9cd956","","[0]","","8","1","How much does the sentence make sense?","398","What did you put for your best feature?","3.25-4.25","","7","null"
"3023","{""Q0"":6}","survey-likert","7","46023","0.0-3.0-0.4","6a1cbdfe90ff9b098f9cd956","","[0]","","8","1","How much does the sentence make sense?","81","I want you to have a good time.","<2.25","","7","null"
"6099","{""Q0"":2}","survey-likert","8","52124","0.0-3.0-0.5","6a1cbdfe90ff9b098f9cd956","","[0]","","8","1","How much does the sentence make sense?","42","It's the logical thing to do, isn't it?","<2.25","","3","null"
"4211","{""Q0"":4}","survey-likert","9","56337","0.0-3.0-0.6","6a1cbdfe90ff9b098f9cd956","","[0]","","8","1","How much does the sentence make sense?","145","Truth is, I don't know what to say.","<2.25","","5","null"
