"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"14855","{""Q0"":""615ebee41627a65c85ccb4b6""}","survey-text","0","14867","0.0-0.0","615ebee41627a65c85ccb4b6","","","","","","","","","","","",""
"36709","0","html-button-response","1","51578","0.0-1.0","615ebee41627a65c85ccb4b6","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"111495","0","html-button-response","2","163073","0.0-2.0","615ebee41627a65c85ccb4b6","
      <h1>Sentence Rating Experiment: Mental States</h1>

      <p>
        In this survey, you will be asked to read and evaluate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The woman wondered what made him jealous.” or “I was so angry that I hit the door.” have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. In contrast, sentences like “A car drove into the parking garage.” or “Most of earth’s surface is covered by water.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"26623","{""Q0"":1}","survey-likert","3","189697","0.0-3.0-0.0","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","108","What do you do to make ends meet?","<2.25","","2","null"
"23927","{""Q0"":1}","survey-likert","4","213625","0.0-3.0-0.1","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","437","The conversation on this tape is totally unintelligible.","3.25-4.25","","2","null"
"17679","{""Q0"":3}","survey-likert","5","231304","0.0-3.0-0.2","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","774","The sheep turn round and charge the shepherd?",">5.25","","4","null"
"16807","{""Q0"":0}","survey-likert","6","248112","0.0-3.0-0.3","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","783","There was more chatter and tapping of watches.",">5.25","","1","null"
"14863","{""Q0"":1}","survey-likert","7","262976","0.0-3.0-0.4","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","166","I'd love to hear about what you're doing.","2.25-3.25","","2","null"
"11151","{""Q0"":1}","survey-likert","8","274128","0.0-3.0-0.5","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","628","Her proposal is heavily promoted in the press.","4.25-5.25","","2","null"
"10647","{""Q0"":6}","survey-likert","9","284776","0.0-3.0-0.6","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","494","Licensing and registration procedures are opaque and politicized.","4.25-5.25","","7","null"
"7543","{""Q0"":1}","survey-likert","10","292320","0.0-3.0-0.7","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","541","Music and laughter came from inside the shop.","4.25-5.25","","2","null"
"9327","{""Q0"":1}","survey-likert","11","301648","0.0-3.0-0.8","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","324","She turned her attention back to the furnishings.","3.25-4.25","","2","null"
"12775","{""Q0"":0}","survey-likert","12","314424","0.0-3.0-0.9","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","266","Suddenly, a faint whisper swirled in her ear.","2.25-3.25","","1","null"
"12175","{""Q0"":0}","survey-likert","13","326600","0.0-3.0-0.10","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","27","Sir, would you like to leave a message?","<2.25","","1","null"
"23999","{""Q0"":6}","survey-likert","14","350600","0.0-3.0-0.11","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","392","He tried to wind down his window surreptitiously.","3.25-4.25","","7","null"
"17863","{""Q0"":1}","survey-likert","15","368464","0.0-3.0-0.12","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","778","That was very interesting research George was doing!",">5.25","","2","null"
"7495","{""Q0"":1}","survey-likert","16","375960","0.0-3.0-0.13","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","619","The next morning found him eager to begin.","4.25-5.25","","2","null"
"20871","{""Q0"":6}","survey-likert","17","396832","0.0-3.0-0.14","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","708","The guy most likely looked at life simply.",">5.25","","7","null"
"7863","{""Q0"":0}","survey-likert","18","404696","0.0-3.0-0.15","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","438","Footsteps moved toward them up the side street.","3.25-4.25","","1","null"
"14247","{""Q0"":0}","survey-likert","19","418944","0.0-3.0-0.16","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","381","The flow of data is returning to normal.","3.25-4.25","","1","null"
"5799","{""Q0"":0}","survey-likert","20","424743","0.0-3.0-0.17","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","333","He looked at the poster on the wall.","3.25-4.25","","1","null"
"6567","{""Q0"":0}","survey-likert","21","431311","0.0-3.0-0.18","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","688","I watched him head to the other barn.",">5.25","","1","null"
"9591","{""Q0"":1}","survey-likert","22","440903","0.0-3.0-0.19","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","43","Call me when you get close, all right?","<2.25","","2","null"
"3735","{""Q0"":2}","survey-likert","23","444639","0.0-3.0-0.20","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","attention_check_20","This is an attention check. Please click 3.","attention_check","3","3","true"
"7935","{""Q0"":4}","survey-likert","24","452575","0.0-3.0-0.21","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","204","If I get any information, I'll call you.","2.25-3.25","","5","null"
"8599","{""Q0"":3}","survey-likert","25","461175","0.0-3.0-0.22","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","679","Other passengers reviewed shopping lists and read books.",">5.25","","4","null"
"6599","{""Q0"":0}","survey-likert","26","467775","0.0-3.0-0.23","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","134","No, that's not the way I see it.","<2.25","","1","null"
"46943","{""Q0"":0}","survey-likert","27","514719","0.0-3.0-0.24","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","409","It would be like believing in the postman.","3.25-4.25","","1","null"
"7671","{""Q0"":6}","survey-likert","28","522391","0.0-3.0-0.25","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","734","I laughed too, loving his delightful British accent.",">5.25","","7","null"
"9391","{""Q0"":1}","survey-likert","29","531783","0.0-3.0-0.26","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","178","It was the way it had always been.","2.25-3.25","","2","null"
"16263","{""Q0"":6}","survey-likert","30","548047","0.0-3.0-0.27","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","299","When are we getting out of here, exactly?","2.25-3.25","","7","null"
"13735","{""Q0"":0}","survey-likert","31","561783","0.0-3.0-0.28","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","666","He peers at the tag inside the dress.",">5.25","","1","null"
"15759","{""Q0"":0}","survey-likert","32","577543","0.0-3.0-0.29","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","736","The boys were all at that runaway age.",">5.25","","1","null"
"9399","{""Q0"":1}","survey-likert","33","586943","0.0-3.0-0.30","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","188","He had never seen anything like them before.","2.25-3.25","","2","null"
"16367","{""Q0"":2}","survey-likert","34","603311","0.0-3.0-0.31","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","720","What use were eyes to it down here?",">5.25","","3","null"
"10207","{""Q0"":0}","survey-likert","35","613519","0.0-3.0-0.32","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","191","Most of it is not all of it.","2.25-3.25","","1","null"
"9375","{""Q0"":4}","survey-likert","36","622895","0.0-3.0-0.33","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","394","How could they talk when he couldn't speak?","3.25-4.25","","5","null"
"8567","{""Q0"":3}","survey-likert","37","631463","0.0-3.0-0.34","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","378","Did someone try to kick the door down?","3.25-4.25","","4","null"
"13063","{""Q0"":1}","survey-likert","38","644526","0.0-3.0-0.35","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","457","Finally, he had something he could actually do.","3.25-4.25","","2","null"
"16199","{""Q0"":3}","survey-likert","39","660726","0.0-3.0-0.36","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","396","In my judgment, you simply have no alternative.","3.25-4.25","","4","null"
"14327","{""Q0"":0}","survey-likert","40","675054","0.0-3.0-0.37","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","132","That's just what I was going to say.","<2.25","","1","null"
"11895","{""Q0"":1}","survey-likert","41","686950","0.0-3.0-0.38","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","454","Then I would have to answer interesting questions.","3.25-4.25","","2","null"
"14143","{""Q0"":0}","survey-likert","42","701094","0.0-3.0-0.39","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","513","The workshop guys can pick it up later.","4.25-5.25","","1","null"
"10743","{""Q0"":0}","survey-likert","43","711838","0.0-3.0-0.40","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","711","Martin knew any real answers lay much deeper.",">5.25","","1","null"
"4983","{""Q0"":5}","survey-likert","44","716822","0.0-3.0-0.41","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","attention_check_40","This is an attention check. Please click 6.","attention_check","6","6","true"
"7927","{""Q0"":3}","survey-likert","45","724750","0.0-3.0-0.42","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","430","In the swamps, I learned how to listen.","3.25-4.25","","4","null"
"7679","{""Q0"":1}","survey-likert","46","732430","0.0-3.0-0.43","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","570","The windows they faced were dark and shut.","4.25-5.25","","2","null"
"10135","{""Q0"":4}","survey-likert","47","742566","0.0-3.0-0.44","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","609","We lead rituals and ceremonies, things like that.","4.25-5.25","","5","null"
"7407","{""Q0"":0}","survey-likert","48","749974","0.0-3.0-0.45","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","51","It's not just me, it's both of us.","<2.25","","1","null"
"6871","{""Q0"":4}","survey-likert","49","756846","0.0-3.0-0.46","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","123","I don't care what you think of me.","<2.25","","5","null"
"8879","{""Q0"":2}","survey-likert","50","765726","0.0-3.0-0.47","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","530","Now keep that thought in mind and exaggerate!","4.25-5.25","","3","null"
"11511","{""Q0"":2}","survey-likert","51","777238","0.0-3.0-0.48","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","273","Let's hope there isn't a backlash against him.","2.25-3.25","","3","null"
"8815","{""Q0"":1}","survey-likert","52","786054","0.0-3.0-0.49","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","756","But here they were merely Paul and Anna.",">5.25","","2","null"
"18839","{""Q0"":6}","survey-likert","53","804894","0.0-3.0-0.50","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","616","Half of Omaha has no lights right now.","4.25-5.25","","7","null"
"12167","{""Q0"":4}","survey-likert","54","817062","0.0-3.0-0.51","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","90","Even if I did, you'd never believe it.","<2.25","","5","null"
"7335","{""Q0"":6}","survey-likert","55","824398","0.0-3.0-0.52","615ebee41627a65c85ccb4b6","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","33","I wish there was something I could do.","<2.25","","7","null"
