"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"5773","{""Q0"":""69abcf5d224e74b19f4336b1""}","survey-text","0","5780","0.0-0.0","69abcf5d224e74b19f4336b1","","","","","","","","","","","",""
"7899","0","html-button-response","1","13681","0.0-1.0","69abcf5d224e74b19f4336b1","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"46639","0","html-button-response","2","60320","0.0-2.0","69abcf5d224e74b19f4336b1","
      <h1>Exp3: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of physical objects and/or physical causal interactions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “A few rows of bookshelves came tumbling down.” or “There were several large boxes on the floor.” have meanings that are related to physical objects and/or physical causal interactions, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “The US justice system consists of three branches of government.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"6082","{""Q0"":0}","survey-likert","3","66403","0.0-3.0-0.0","69abcf5d224e74b19f4336b1","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","91","This is the worst moment of my life.","<2.25","","1","null"
"3809","{""Q0"":0}","survey-likert","4","70213","0.0-3.0-0.1","69abcf5d224e74b19f4336b1","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","5","Is there anything I can do for you?","<2.25","","1","null"
"12490","{""Q0"":4}","survey-likert","5","82704","0.0-3.0-0.2","69abcf5d224e74b19f4336b1","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","285","And now there are trees all around us.","2.25-3.25","","5","null"
"6935","{""Q0"":4}","survey-likert","6","89640","0.0-3.0-0.3","69abcf5d224e74b19f4336b1","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","335","He looked to be a normal-sized eight-year-old kid.","3.25-4.25","","5","null"
"2832","{""Q0"":1}","survey-likert","7","92473","0.0-3.0-0.4","69abcf5d224e74b19f4336b1","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","67","Oh, I wish I could remember the name.","<2.25","","2","null"
"4628","{""Q0"":1}","survey-likert","8","97101","0.0-3.0-0.5","69abcf5d224e74b19f4336b1","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","336","He looked at me with a wacky gaze.","3.25-4.25","","2","null"
"5159","{""Q0"":0}","survey-likert","9","102261","0.0-3.0-0.6","69abcf5d224e74b19f4336b1","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","138","There is no use in talking about it.","<2.25","","1","null"
"4911","{""Q0"":4}","survey-likert","10","107173","0.0-3.0-0.7","69abcf5d224e74b19f4336b1","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","502","We were surrounded by people from various origins.","4.25-5.25","","5","null"
"6584","{""Q0"":1}","survey-likert","11","113757","0.0-3.0-0.8","69abcf5d224e74b19f4336b1","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","699","It also had real but limited economic advances.",">5.25","","2","null"
"3211","{""Q0"":0}","survey-likert","12","116969","0.0-3.0-0.9","69abcf5d224e74b19f4336b1","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","92","Maybe you should take another look at it.","<2.25","","1","null"
"3307","{""Q0"":1}","survey-likert","13","120276","0.0-3.0-0.10","69abcf5d224e74b19f4336b1","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","168","I'm just trying to find the right words.","2.25-3.25","","2","null"
"2392","{""Q0"":0}","survey-likert","14","122669","0.0-3.0-0.11","69abcf5d224e74b19f4336b1","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","94","This is not where I want to be.","<2.25","","1","null"
"6340","{""Q0"":3}","survey-likert","15","129010","0.0-3.0-0.12","69abcf5d224e74b19f4336b1","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","359","So tonight I decided to have a barbecue.","3.25-4.25","","4","null"
"4109","{""Q0"":1}","survey-likert","16","133120","0.0-3.0-0.13","69abcf5d224e74b19f4336b1","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","771","Reactions worked totally off of his trained instincts.",">5.25","","2","null"
"2163","{""Q0"":0}","survey-likert","17","135284","0.0-3.0-0.14","69abcf5d224e74b19f4336b1","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","115","What am I going to say to them?","<2.25","","1","null"
"2809","{""Q0"":0}","survey-likert","18","138093","0.0-3.0-0.15","69abcf5d224e74b19f4336b1","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","99","I was trying to do the right thing.","<2.25","","1","null"
"3118","{""Q0"":4}","survey-likert","19","141212","0.0-3.0-0.16","69abcf5d224e74b19f4336b1","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","304","We must move before the sun comes up.","2.25-3.25","","5","null"
"4077","{""Q0"":1}","survey-likert","20","145290","0.0-3.0-0.17","69abcf5d224e74b19f4336b1","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","399","Fortunately, you've arrived on a very interesting night.","3.25-4.25","","2","null"
"11075","{""Q0"":3}","survey-likert","21","156366","0.0-3.0-0.18","69abcf5d224e74b19f4336b1","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","701","I was elected captain and James became jealous.",">5.25","","4","null"
"2642","{""Q0"":1}","survey-likert","22","159008","0.0-3.0-0.19","69abcf5d224e74b19f4336b1","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","177","Frankly, I can't spare the time right now.","2.25-3.25","","2","null"
"2914","{""Q0"":0}","survey-likert","23","161923","0.0-3.0-0.20","69abcf5d224e74b19f4336b1","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","attention_check_20","This is an attention check. Please click 1.","attention_check","1","1","true"
"3931","{""Q0"":1}","survey-likert","24","165855","0.0-3.0-0.21","69abcf5d224e74b19f4336b1","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","764","Your writ runs in the hours of darkness.",">5.25","","2","null"
"4803","{""Q0"":0}","survey-likert","25","170659","0.0-3.0-0.22","69abcf5d224e74b19f4336b1","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","455","However, I am without argument to explain it.","3.25-4.25","","1","null"
"12429","{""Q0"":5}","survey-likert","26","183089","0.0-3.0-0.23","69abcf5d224e74b19f4336b1","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","288","Isn't she coming home for tea after all?","2.25-3.25","","6","null"
"3361","{""Q0"":1}","survey-likert","27","186450","0.0-3.0-0.24","69abcf5d224e74b19f4336b1","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","76","I can't get it out of my head.","<2.25","","2","null"
"6269","{""Q0"":0}","survey-likert","28","192719","0.0-3.0-0.25","69abcf5d224e74b19f4336b1","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","179","In the meantime, I had much to do.","2.25-3.25","","1","null"
"3807","{""Q0"":0}","survey-likert","29","196527","0.0-3.0-0.26","69abcf5d224e74b19f4336b1","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","254","He had not expected them to believe him.","2.25-3.25","","1","null"
